9A4A244A-E780-DE69-9342-F2E7207E194E Ranges to 1 devices:   0x59: 912 mm

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 27, Y = -77, Z = -206, qw = 882, qx = -1175, qy = -1063, qz = 16283, gx = 962, gy = -2974, gz = 834
AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -20, Y = -98, Z = -55, qw = 1845, qx = 2021, qy = -241, qz = 16152, gx = -102, gy = -59, gz = 15

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 7, Y = 36, Z = -62, qw = 128, qx = -311, qy = -504, qz = 16373, gx = -620, gy = 342, gz = 271

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 27, Y = 333, Z = 152, qw = 110, qx = -350, qy = -561, qz = 16370, gx = -647, gy = 425, gz = 204

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 20, Y = 190, Z = 33, qw = 120, qx = -430, qy = -656, qz = 16365, gx = -1066, gy = 898, gz = -107

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -32, Y = -121, Z = -51, qw = 1846, qx = 2025, qy = -257, qz = 16151, gx = -170, gy = -65, gz = 0

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -10, Y = -126, Z = -56, qw = 1846, qx = 2029, qy = -272, qz = 16151, gx = -156, gy = -55, gz = 21

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 6, Y = 21, Z = 13, qw = 120, qx = -549, qy = -748, qz = 16357, gx = -1040, gy = 1325, gz = 26

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -43, Y = 2, Z = 64, qw = 100, qx = -659, qy = -801, qz = 16351, gx = -609, gy = 1214, gz = 257

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 1, Y = -115, Z = -36, qw = 1849, qx = 2037, qy = -280, qz = 16149, gx = -76, gy = -104, gz = -21

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 0, Y = -108, Z = -12, qw = 1856, qx = 2047, qy = -278, qz = 16147, gx = 22, gy = -108, gz = -89

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -119, Y = -42, Z = 22, qw = 57, qx = -768, qy = -837, qz = 16344, gx = -438, gy = 1202, gz = 521

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -52, Y = -28, Z = -201, qw = 3, qx = -850, qy = -874, qz = 16339, gx = -441, gy = 881, gz = 631

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -8, Y = -69, Z = -290, qw = 74, qx = 793, qy = 847, qz = -16343, gx = 248, gy = -680, gz = 840

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 39, Y = -36, Z = -32, qw = 177, qx = 573, qy = 726, qz = -16357, gx = 1301, gy = -2540, gz = 1088

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -9, Y = -67, Z = -1, qw = 1865, qx = 2065, qy = -230, qz = 16144, gx = 367, gy = -50, gz = -74

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -9, Y = -67, Z = -1, qw = 1865, qx = 2065, qy = -230, qz = 16144, gx = 367, gy = -50, gz = -74

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -8, Y = -55, Z = -15, qw = 1863, qx = 2071, qy = -193, qz = 16144, gx = 423, gy = -17, gz = -33

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -8, Y = -54, Z = -12, qw = 1860, qx = 2078, qy = -170, qz = 16144, gx = 278, gy = -48, gz = 2

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 106, Y = 100, Z = 31, qw = 279, qx = 370, qy = 586, qz = -16367, gx = 1498, gy = -2338, gz = 1090

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 89, Y = 187, Z = -119, qw = 371, qx = 253, qy = 469, qz = -16371, gx = 1263, gy = -1367, gz = 1015

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -4, Y = -109, Z = 5, qw = 1859, qx = 2089, qy = -167, qz = 16143, gx = 52, gy = -122, gz = 0

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -10, Y = -111, Z = 8, qw = 1863, qx = 2105, qy = -170, qz = 16140, gx = -17, gy = -188, gz = -39

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -14, Y = -106, Z = 0, qw = 1868, qx = 2119, qy = -165, qz = 16138, gx = 77, gy = -149, gz = -71

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 96, Y = 144, Z = 3, qw = 453, qx = 165, qy = 362, qz = -16373, gx = 1161, gy = -1039, gz = 908

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 31, Y = 34, Z = -24, qw = 515, qx = 86, qy = 259, qz = -16374, gx = 1122, gy = -935, gz = 681

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 10, Y = -6, Z = 54, qw = 552, qx = 29, qy = 175, qz = -16374, gx = 913, gy = -666, gz = 410

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -4, Y = 47, Z = 22, qw = 566, qx = 8, qy = 115, qz = -16374, gx = 661, gy = -265, gz = 160

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -14, Y = -97, Z = -5, qw = 1873, qx = 2131, qy = -148, qz = 16136, gx = 193, gy = -109, gz = -89

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -4, Y = -81, Z = -9, qw = 1879, qx = 2143, qy = -129, qz = 16134, gx = 229, gy = -114, gz = -91

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 7, Y = -86, Z = 0, qw = 1886, qx = 2159, qy = -111, qz = 16131, gx = 206, gy = -149, gz = -110

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -41, Y = 71, Z = 187, qw = 561, qx = 12, qy = 67, qz = -16374, gx = 546, gy = 25, gz = -61

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -41, Y = 71, Z = 187, qw = 561, qx = 12, qy = 67, qz = -16374, gx = 546, gy = 25, gz = -61

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -14, Y = 93, Z = 45, qw = 549, qx = -16, qy = 51, qz = -16375, gx = 165, gy = -310, gz = -130

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 6, Y = -81, Z = 6, qw = 1892, qx = 2171, qy = -111, qz = 16129, gx = 229, gy = -144, gz = -132

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -8, Y = -88, Z = 5, qw = 1897, qx = 2179, qy = -107, qz = 16127, gx = 277, gy = -97, gz = -126

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -13, Y = -98, Z = -35, qw = 1898, qx = 2191, qy = -107, qz = 16125, gx = 277, gy = -140, gz = -85

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 7, Y = -121, Z = -38, qw = 1898, qx = 2213, qy = -116, qz = 16122, gx = 241, gy = -248, gz = -80

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -56, Y = 68, Z = 46, qw = 549, qx = -75, qy = 22, qz = -16375, gx = 295, gy = -670, gz = -2

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 2, Y = 48, Z = 66, qw = 577, qx = -155, qy = -32, qz = -16373, gx = 576, gy = -924, gz = 303

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 56, Y = 59, Z = 31, qw = 624, qx = -243, qy = -111, qz = -16370, gx = 854, gy = -1008, gz = 517

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 0, Y = -139, Z = -47, qw = 1909, qx = 2239, qy = -95, qz = 16117, gx = 254, gy = -272, gz = -166

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 0, Y = -139, Z = -47, qw = 1909, qx = 2239, qy = -95, qz = 16117, gx = 254, gy = -272, gz = -166

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -35, Y = -116, Z = -52, qw = 1932, qx = 2265, qy = -65, qz = 16111, gx = 331, gy = -248, gz = -301

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 24, Y = 30, Z = 37, qw = 673, qx = -352, qy = -230, qz = -16365, gx = 1294, gy = -1269, gz = 548

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -15, Y = 34, Z = 12, qw = 710, qx = -469, qy = -376, qz = -16358, gx = 1590, gy = -1372, gz = 391

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 9, Z = -2, qw = 735, qx = -569, qy = -513, qz = -16350, gx = 1490, gy = -1180, gz = 270

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 55, Y = 74, Z = -2, qw = 749, qx = -648, qy = -625, qz = -16342, gx = 1213, gy = -940, gz = 144

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -35, Y = -112, Z = -55, qw = 1968, qx = 2286, qy = -30, qz = 16104, gx = 367, gy = -196, gz = -462

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 0, Y = -74, Z = -50, qw = 2020, qx = 2300, qy = 7, qz = 16096, gx = 345, gy = -120, gz = -643

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -21, Y = -42, Z = -53, qw = 2079, qx = 2309, qy = 41, qz = 16087, gx = 296, gy = -64, gz = -720

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -34, Y = -31, Z = -74, qw = 2126, qx = 2315, qy = 60, qz = 16080, gx = 154, gy = -50, gz = -557

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 28, Y = 54, Z = -52, qw = 747, qx = -710, qy = -703, qz = -16336, gx = 840, gy = -727, gz = -27

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 11, Y = 35, Z = -78, qw = 739, qx = -751, qy = -744, qz = -16333, gx = 434, gy = -481, gz = -85

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -5, Y = 1, Z = -69, qw = 2148, qx = 2323, qy = 49, qz = 16076, gx = -131, gy = -106, gz = -233

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 28, Y = 25, Z = -58, qw = 2151, qx = 2332, qy = 7, qz = 16074, gx = -451, gy = -167, gz = 32

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 48, Y = 61, Z = -73, qw = 739, qx = -776, qy = -767, qz = -16331, gx = 249, gy = -294, gz = -4

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 49, Y = 74, Z = -51, qw = 745, qx = -796, qy = -800, qz = -16328, gx = 351, gy = -236, gz = 57

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 3, Y = 58, Z = -12, qw = 757, qx = -816, qy = -848, qz = -16324, gx = 537, gy = -249, gz = 119

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 52, Y = 14, Z = -45, qw = 2146, qx = 2342, qy = -58, qz = 16073, gx = -682, gy = -211, gz = 152

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 47, Y = -61, Z = 2, qw = 2141, qx = 2348, qy = -127, qz = 16072, gx = -744, gy = -161, gz = 160

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 37, Y = -79, Z = 0, qw = 2138, qx = 2348, qy = -183, qz = 16072, gx = -596, gy = -83, gz = 122

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 73, Y = 72, Z = 23, qw = 775, qx = -832, qy = -904, qz = -16319, gx = 628, gy = -191, gz = 184

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 65, Y = 80, Z = 16, qw = 795, qx = -839, qy = -951, qz = -16315, gx = 532, gy = -95, gz = 208

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 26, Y = 63, Z = -29, qw = 806, qx = -843, qy = -976, qz = -16313, gx = 276, gy = -53, gz = 106

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 27, Y = -85, Z = -14, qw = 2137, qx = 2352, qy = -214, qz = 16072, gx = -325, gy = -85, gz = 64

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 28, Y = -47, Z = -40, qw = 2135, qx = 2362, qy = -220, qz = 16070, gx = -49, gy = -125, gz = 24

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 46, Y = 8, Z = -54, qw = 2134, qx = 2377, qy = -209, qz = 16068, gx = 157, gy = -156, gz = -14

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 36, Y = 45, Z = -30, qw = 809, qx = -842, qy = -970, qz = -16313, gx = -61, gy = 15, gz = 42

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 47, Y = 57, Z = -42, qw = 808, qx = -832, qy = -945, qz = -16316, gx = -275, gy = 128, gz = -13

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 29, Y = 84, Z = -54, qw = 800, qx = -810, qy = -913, qz = -16319, gx = -359, gy = 257, gz = -86

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 47, Y = 36, Z = -74, qw = 2133, qx = 2398, qy = -196, qz = 16065, gx = 171, gy = -209, gz = -22

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 55, Y = 57, Z = -91, qw = 2129, qx = 2418, qy = -204, qz = 16063, gx = -47, gy = -240, gz = 52

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 53, Y = 39, Z = -67, qw = 2119, qx = 2433, qy = -243, qz = 16061, gx = -382, gy = -217, gz = 167

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -5, Y = 74, Z = -50, qw = 791, qx = -782, qy = -875, qz = -16323, gx = -420, gy = 334, gz = -99

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -5, Y = 72, Z = -44, qw = 782, qx = -764, qy = -840, qz = -16326, gx = -381, gy = 218, gz = -86

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 108, Z = -50, qw = 781, qx = -765, qy = -822, qz = -16327, gx = -204, gy = 1, gz = -4

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 42, Y = 14, Z = -50, qw = 2088, qx = 2446, qy = -374, qz = 16061, gx = -724, gy = -151, gz = 308

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 57, Y = -15, Z = -39, qw = 2063, qx = 2447, qy = -441, qz = 16062, gx = -683, gy = -116, gz = 386

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 6, Y = 103, Z = -54, qw = 787, qx = -783, qy = -818, qz = -16326, gx = -58, gy = -201, gz = 72

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 4, Y = 75, Z = -73, qw = 801, qx = -799, qy = -815, qz = -16325, gx = -35, gy = -166, gz = 171

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 17, Y = 98, Z = -76, qw = 827, qx = -802, qy = -802, qz = -16324, gx = -132, gy = -13, gz = 299

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 82, Y = -16, Z = -39, qw = 2028, qx = 2452, qy = -498, qz = 16064, gx = -555, gy = -140, gz = 476

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 99, Y = 0, Z = -42, qw = 1983, qx = 2456, qy = -537, qz = 16068, gx = -335, gy = -106, gz = 554

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 83, Y = 28, Z = -53, qw = 1932, qx = 2451, qy = -561, qz = 16074, gx = -188, gy = 24, gz = 615

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Ranges to 1 devices:   0x36: 922 mm

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 6, Y = -16, Z = -27, qw = 824, qx = -972, qy = -1613, qz = -16255, gx = -410, gy = 227, gz = 379

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 6, Y = -16, Z = -27, qw = 824, qx = -972, qy = -1613, qz = -16255, gx = -410, gy = 227, gz = 379

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 9, Y = -20, Z = 8, qw = 858, qx = -935, qy = -1553, qz = -16261, gx = -635, gy = 491, gz = 371

9A4A244A-E780-DE69-9342-F2E7207E194E Ranges to 1 devices:   0x59: 922 mm

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -53, Y = -17, Z = 13, qw = 886, qx = -888, qy = -1492, qz = -16268, gx = -640, gy = 588, gz = 292

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -59, Y = -20, Z = 5, qw = 907, qx = -839, qy = -1439, qz = -16274, gx = -549, gy = 607, gz = 219

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 34, Y = 41, Z = -47, qw = 1880, qx = 2445, qy = -591, qz = 16080, gx = -243, gy = 11, gz = 628

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 12, Y = 32, Z = -41, qw = 1833, qx = 2440, qy = -628, qz = 16085, gx = -322, gy = -1, gz = 581

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 3, Y = 15, Z = -39, qw = 1792, qx = 2437, qy = -657, qz = 16089, gx = -243, gy = -12, gz = 513

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -43, Y = -18, Z = -25, qw = 924, qx = -788, qy = -1400, qz = -16279, gx = -407, gy = 611, gz = 156

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -1, Y = -27, Z = -40, qw = 944, qx = -741, qy = -1370, qz = -16282, gx = -294, gy = 561, gz = 191

