9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -59, Y = -23, Z = -6, qw = 9165, qx = 1842, qy = -846, qz = -13429, gx = 371, gy = 254, gz = 6
9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 9, Y = -4, Z = 45, qw = 9317, qx = 1767, qy = -781, qz = -13338, gx = 150, gy = 63, gz = 67

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 10, Y = -5, Z = 40, qw = 9321, qx = 1774, qy = -791, qz = -13333, gx = 128, gy = 7, gz = 70

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 15, Y = -16, Z = 29, qw = 9326, qx = 1777, qy = -800, qz = -13329, gx = 94, gy = -20, gz = 75

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -2, Y = -28, Z = 7, qw = 9332, qx = 1781, qy = -806, qz = -13324, gx = 78, gy = 12, gz = 95

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -28, Y = -31, Z = 9, qw = 9339, qx = 1789, qy = -808, qz = -13318, gx = 95, gy = 55, gz = 114

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -54, Y = -26, Z = 13, qw = 9344, qx = 1801, qy = -812, qz = -13312, gx = 109, gy = 97, gz = 79

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -69, Y = -24, Z = 13, qw = 9344, qx = 1815, qy = -812, qz = -13310, gx = 89, gy = 128, gz = -6

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -29, Y = -22, Z = 18, qw = 9335, qx = 1827, qy = -809, qz = -13316, gx = 63, gy = 116, gz = -130

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 15, Y = -35, Z = 21, qw = 9317, qx = 1831, qy = -806, qz = -13327, gx = 11, gy = 28, gz = -237

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 43, Y = -39, Z = 21, qw = 9299, qx = 1825, qy = -803, qz = -13341, gx = -51, gy = -60, gz = -250

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 56, Y = -33, Z = -3, qw = 9287, qx = 1817, qy = -798, qz = -13351, gx = -95, gy = -59, gz = -177

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 60, Y = -54, Z = -28, qw = 9282, qx = 1808, qy = -793, qz = -13356, gx = -95, gy = -58, gz = -73

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 24, Y = -51, Z = -34, qw = 9286, qx = 1804, qy = -791, qz = -13354, gx = -44, gy = -28, gz = 50

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -28, Y = -38, Z = -47, qw = 9297, qx = 1811, qy = -792, qz = -13345, gx = 44, gy = 83, gz = 150

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -28, Y = -38, Z = -47, qw = 9297, qx = 1811, qy = -792, qz = -13345, gx = 44, gy = 83, gz = 150

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -73, Y = -25, Z = -50, qw = 9306, qx = 1825, qy = -797, qz = -13337, gx = 128, gy = 102, gz = 131

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -31, Y = -39, Z = 4, qw = 9307, qx = 1833, qy = -810, qz = -13334, gx = 170, gy = 1, gz = 29

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -26, Y = -33, Z = 16, qw = 9303, qx = 1837, qy = -823, qz = -13336, gx = 144, gy = -48, gz = -26

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -27, Y = -23, Z = 7, qw = 9299, qx = 1841, qy = -827, qz = -13338, gx = 66, gy = -7, gz = -48

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -17, Y = -25, Z = -8, qw = 9293, qx = 1840, qy = -827, qz = -13342, gx = 0, gy = -13, gz = -76

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -4, Y = -24, Z = -39, qw = 9288, qx = 1837, qy = -825, qz = -13346, gx = -30, gy = -21, gz = -78

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -4, Y = -17, Z = -52, qw = 9283, qx = 1835, qy = -825, qz = -13349, gx = -9, gy = -23, gz = -60

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 1, Y = -18, Z = -48, qw = 9279, qx = 1835, qy = -831, qz = -13352, gx = 54, gy = -52, gz = -51

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -30, Y = -10, Z = -17, qw = 9275, qx = 1840, qy = -840, qz = -13353, gx = 128, gy = -15, gz = -29

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -39, Y = -6, Z = 0, qw = 9272, qx = 1852, qy = -849, qz = -13354, gx = 162, gy = 53, gz = -30

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -34, Y = -8, Z = 14, qw = 9265, qx = 1863, qy = -856, qz = -13356, gx = 135, gy = 42, gz = -72

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -24, Y = -1, Z = 15, qw = 9256, qx = 1870, qy = -859, qz = -13362, gx = 78, gy = 30, gz = -116

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -8, Y = -1, Z = 0, qw = 9246, qx = 1873, qy = -857, qz = -13368, gx = 13, gy = 29, gz = -141

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -1, Y = -2, Z = -19, qw = 9235, qx = 1874, qy = -851, qz = -13376, gx = -33, gy = 25, gz = -155

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 6, Y = -3, Z = -34, qw = 9224, qx = 1872, qy = -846, qz = -13384, gx = -47, gy = 0, gz = -149

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 10, Y = -3, Z = -38, qw = 9215, qx = 1870, qy = -845, qz = -13391, gx = -19, gy = -29, gz = -128

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 0, Y = 7, Z = -35, qw = 9207, qx = 1871, qy = -848, qz = -13396, gx = 48, gy = -18, gz = -100

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 2, Y = 8, Z = -28, qw = 9200, qx = 1876, qy = -856, qz = -13400, gx = 109, gy = -19, gz = -84

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 4, Y = 7, Z = -12, qw = 9193, qx = 1882, qy = -868, qz = -13402, gx = 149, gy = -22, gz = -67

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -3, Y = 10, Z = 0, qw = 9188, qx = 1891, qy = -880, qz = -13404, gx = 169, gy = -2, gz = -52

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -10, Y = 16, Z = 14, qw = 9182, qx = 1900, qy = -890, qz = -13406, gx = 157, gy = 14, gz = -51

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -12, Y = 16, Z = 17, qw = 9176, qx = 1908, qy = -896, qz = -13408, gx = 117, gy = 27, gz = -64

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -12, Y = 18, Z = 16, qw = 9170, qx = 1914, qy = -898, qz = -13412, gx = 51, gy = 32, gz = -82

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 8, Y = 10, Z = -16, qw = 9162, qx = 1914, qy = -895, qz = -13417, gx = -12, gy = 0, gz = -106

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 27, Y = 3, Z = -27, qw = 9154, qx = 1910, qy = -894, qz = -13423, gx = -30, gy = -33, gz = -112

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 29, Y = 1, Z = -29, qw = 9148, qx = 1909, qy = -894, qz = -13428, gx = -5, gy = -28, gz = -79

9A4A244A-E780-DE69-9342-F2E7207E194E Ranges to 1 devices:   0x59: 737 mm

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 13, Y = 1, Z = -29, qw = 9147, qx = 1913, qy = -896, qz = -13428, gx = 45, gy = 30, gz = -19

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -2, Y = 12, Z = -6, qw = 9147, qx = 1923, qy = -901, qz = -13426, gx = 107, gy = 62, gz = 13

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -5, Y = 14, Z = 11, qw = 9147, qx = 1932, qy = -907, qz = -13424, gx = 117, gy = 42, gz = 17

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -8, Y = 10, Z = 14, qw = 9146, qx = 1938, qy = -912, qz = -13424, gx = 77, gy = 22, gz = 4

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -4, Y = 9, Z = 8, qw = 9145, qx = 1941, qy = -914, qz = -13424, gx = 41, gy = 10, gz = -16

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 15, Y = 8, Z = 3, qw = 9142, qx = 1943, qy = -916, qz = -13426, gx = 33, gy = 1, gz = -36

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 15, Y = 11, Z = 0, qw = 9140, qx = 1944, qy = -917, qz = -13427, gx = 19, gy = 1, gz = -26

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 11, Y = 3, Z = -16, qw = 9140, qx = 1944, qy = -918, qz = -13427, gx = 1, gy = 1, gz = -3

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 4, Y = -2, Z = -24, qw = 9141, qx = 1943, qy = -919, qz = -13426, gx = 12, gy = -9, gz = 19

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -7, Y = -4, Z = -28, qw = 9142, qx = 1947, qy = -924, qz = -13424, gx = 64, gy = -2, gz = 28

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -17, Y = -1, Z = -17, qw = 9143, qx = 1952, qy = -933, qz = -13422, gx = 110, gy = 8, gz = 25

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -17, Y = 0, Z = -7, qw = 9142, qx = 1961, qy = -942, qz = -13421, gx = 144, gy = 27, gz = 6

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -9, Y = 3, Z = 1, qw = 9138, qx = 1970, qy = -951, qz = -13422, gx = 141, gy = 18, gz = -22

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 16, Y = 7, Z = 6, qw = 9134, qx = 1976, qy = -959, qz = -13423, gx = 112, gy = -1, gz = -38

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 18, Y = 8, Z = 0, qw = 9132, qx = 1981, qy = -964, qz = -13424, gx = 78, gy = 12, gz = -27

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 19, Y = 6, Z = -14, qw = 9130, qx = 1986, qy = -965, qz = -13424, gx = 45, gy = 34, gz = -13

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 15, Y = -1, Z = -34, qw = 9130, qx = 1989, qy = -966, qz = -13423, gx = 25, gy = 27, gz = 4

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 8, Y = -8, Z = -32, qw = 9132, qx = 1991, qy = -969, qz = -13422, gx = 35, gy = 7, gz = 24

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 0, Y = -7, Z = -31, qw = 9134, qx = 1994, qy = -973, qz = -13420, gx = 59, gy = 9, gz = 35

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -5, Y = -9, Z = -20, qw = 9136, qx = 2000, qy = -979, qz = -13417, gx = 91, gy = 21, gz = 40

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -3, Y = -4, Z = 1, qw = 9137, qx = 2007, qy = -986, qz = -13415, gx = 110, gy = 15, gz = 28

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -3, Y = -3, Z = 9, qw = 9137, qx = 2012, qy = -993, qz = -13413, gx = 101, gy = 11, gz = 18

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -1, Y = -6, Z = 11, qw = 9136, qx = 2016, qy = -998, qz = -13413, gx = 65, gy = 10, gz = 2

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 1, Y = -9, Z = 7, qw = 9136, qx = 2017, qy = -997, qz = -13413, gx = 5, gy = 9, gz = -5

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -7, Y = -16, Z = -19, qw = 9137, qx = 2018, qy = -993, qz = -13413, gx = -30, gy = 31, gz = -3

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -6, Y = -18, Z = -30, qw = 9137, qx = 2019, qy = -989, qz = -13413, gx = -35, gy = 38, gz = -9

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -3, Y = -19, Z = -34, qw = 9136, qx = 2020, qy = -986, qz = -13414, gx = -21, gy = 24, gz = -17

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -2, Y = -24, Z = -37, qw = 9135, qx = 2021, qy = -985, qz = -13414, gx = 4, gy = 13, gz = -15

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -17, Y = -25, Z = -29, qw = 9134, qx = 2025, qy = -987, qz = -13414, gx = 42, gy = 26, gz = -7

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -24, Y = -24, Z = -27, qw = 9133, qx = 2032, qy = -991, qz = -13413, gx = 85, gy = 38, gz = -10

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -24, Y = -17, Z = -25, qw = 9129, qx = 2042, qy = -996, qz = -13414, gx = 125, gy = 39, gz = -37

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -1, Y = -2, Z = 0, qw = 9122, qx = 2052, qy = -1004, qz = -13417, gx = 148, gy = 26, gz = -74

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 6, Y = 0, Z = 3, qw = 9114, qx = 2060, qy = -1011, qz = -13421, gx = 120, gy = 13, gz = -90

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 12, Y = 1, Z = -4, qw = 9106, qx = 2066, qy = -1014, qz = -13424, gx = 74, gy = 22, gz = -90

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 22, Y = 0, Z = -11, qw = 9100, qx = 2069, qy = -1014, qz = -13428, gx = 29, gy = 18, gz = -83

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 12, Y = 0, Z = -23, qw = 9097, qx = 2072, qy = -1012, qz = -13430, gx = 4, gy = 34, gz = -48

