AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 12, Y = 16, Z = 3, qw = 2833, qx = 453, qy = -283, qz = -16128, gx = 0, gy = 16, gz = -11
AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -1, Y = -3, Z = 2, qw = 2832, qx = 452, qy = -292, qz = -16128, gx = -3, gy = -14, gz = 23

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -2, Y = -1, Z = -5, qw = 2834, qx = 450, qy = -292, qz = -16128, gx = -8, gy = -22, gz = 22

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -7, Y = -11, Z = -20, qw = 2836, qx = 448, qy = -291, qz = -16128, gx = -17, gy = -24, gz = 20

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -7, Y = -14, Z = -30, qw = 2837, qx = 446, qy = -289, qz = -16128, gx = -26, gy = -14, gz = 11

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -9, Y = -13, Z = -38, qw = 2837, qx = 445, qy = -286, qz = -16128, gx = -32, gy = -14, gz = 0

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -11, Y = -14, Z = -45, qw = 2837, qx = 443, qy = -284, qz = -16128, gx = -28, gy = -12, gz = -6

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -9, Y = -12, Z = -48, qw = 2837, qx = 443, qy = -282, qz = -16128, gx = -23, gy = -7, gz = -7

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -7, Y = -8, Z = -43, qw = 2836, qx = 443, qy = -282, qz = -16128, gx = -4, gy = -3, gz = -12

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -1, Y = -3, Z = -42, qw = 2834, qx = 442, qy = -284, qz = -16128, gx = 23, gy = -13, gz = -17

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 6, Z = -31, qw = 2832, qx = 441, qy = -288, qz = -16129, gx = 46, gy = -24, gz = -19

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 9, Z = -15, qw = 2830, qx = 440, qy = -294, qz = -16129, gx = 56, gy = -20, gz = -20

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 9, Z = -14, qw = 2828, qx = 439, qy = -299, qz = -16129, gx = 52, gy = -16, gz = -17

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 9, Z = -10, qw = 2828, qx = 439, qy = -302, qz = -16129, gx = 39, gy = -15, gz = -2

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -13, Y = 0, Z = -12, qw = 2830, qx = 438, qy = -303, qz = -16129, gx = 9, gy = -11, gz = 15

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -15, Y = -5, Z = -7, qw = 2832, qx = 438, qy = -302, qz = -16129, gx = -15, gy = 4, gz = 24

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -16, Y = -12, Z = -15, qw = 2835, qx = 439, qy = -299, qz = -16128, gx = -28, gy = 18, gz = 32

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -12, Y = -14, Z = -19, qw = 2838, qx = 442, qy = -292, qz = -16128, gx = -27, gy = 12, gz = 14

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -8, Y = -5, Z = -18, qw = 2838, qx = 443, qy = -290, qz = -16128, gx = -14, gy = -2, gz = 2

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -6, Y = -1, Z = -15, qw = 2838, qx = 443, qy = -290, qz = -16128, gx = -8, gy = 0, gz = -2

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -8, Y = -1, Z = -19, qw = 2838, qx = 444, qy = -287, qz = -16128, gx = -24, gy = 11, gz = -7

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -8, Y = -9, Z = -28, qw = 2837, qx = 446, qy = -284, qz = -16128, gx = -35, gy = 26, gz = -14

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -10, Y = -11, Z = -28, qw = 2836, qx = 448, qy = -280, qz = -16128, gx = -36, gy = 26, gz = -11

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -10, Y = -10, Z = -29, qw = 2835, qx = 450, qy = -276, qz = -16128, gx = -29, gy = 22, gz = -11

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -3, Y = -5, Z = -22, qw = 2834, qx = 452, qy = -274, qz = -16128, gx = -19, gy = 21, gz = -22

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -2, Y = 2, Z = -19, qw = 2831, qx = 454, qy = -273, qz = -16129, gx = -6, gy = 21, gz = -34

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 4, Y = 13, Z = -17, qw = 2827, qx = 456, qy = -273, qz = -16130, gx = 1, gy = 19, gz = -42

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 7, Y = 15, Z = -19, qw = 2823, qx = 458, qy = -273, qz = -16130, gx = 2, gy = 18, gz = -47

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Ranges to 1 devices:   0x36: 378 mm

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 9, Y = 16, Z = -24, qw = 2819, qx = 460, qy = -273, qz = -16131, gx = -4, gy = 26, gz = -44

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 5, Y = 17, Z = -24, qw = 2816, qx = 462, qy = -273, qz = -16131, gx = -7, gy = 26, gz = -30

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 13, Z = -21, qw = 2815, qx = 464, qy = -273, qz = -16131, gx = -4, gy = 21, gz = -14

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -2, Y = 7, Z = -15, qw = 2815, qx = 466, qy = -273, qz = -16131, gx = -2, gy = 19, gz = -3

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -2, Y = 3, Z = -16, qw = 2815, qx = 469, qy = -273, qz = -16131, gx = 6, gy = 28, gz = 0

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 2, Y = 8, Z = -9, qw = 2815, qx = 471, qy = -275, qz = -16131, gx = 24, gy = 24, gz = -3

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 2, Y = 9, Z = 2, qw = 2815, qx = 473, qy = -279, qz = -16131, gx = 41, gy = 10, gz = 0

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 9, Y = 10, Z = 15, qw = 2815, qx = 474, qy = -282, qz = -16131, gx = 37, gy = 8, gz = -1

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 8, Y = 10, Z = 17, qw = 2815, qx = 475, qy = -284, qz = -16131, gx = 21, gy = 12, gz = -1

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 6, Y = 8, Z = 14, qw = 2816, qx = 476, qy = -284, qz = -16131, gx = 1, gy = 12, gz = 9

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 2, Y = 2, Z = 7, qw = 2817, qx = 478, qy = -281, qz = -16130, gx = -26, gy = 20, gz = 18

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -3, Z = -4, qw = 2819, qx = 479, qy = -277, qz = -16130, gx = -49, gy = 31, gz = 18

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -1, Y = -5, Z = -5, qw = 2821, qx = 481, qy = -271, qz = -16130, gx = -53, gy = 30, gz = 19

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -3, Z = -1, qw = 2822, qx = 482, qy = -268, qz = -16130, gx = -39, gy = 17, gz = 11

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 8, Y = 6, Z = 4, qw = 2822, qx = 482, qy = -267, qz = -16130, gx = -12, gy = 0, gz = 1

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 9, Y = 6, Z = 1, qw = 2822, qx = 481, qy = -267, qz = -16130, gx = 0, gy = -10, gz = -1

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 5, Y = 4, Z = 1, qw = 2822, qx = 479, qy = -267, qz = -16130, gx = 2, gy = -18, gz = 0

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 3, Z = -1, qw = 2822, qx = 477, qy = -268, qz = -16130, gx = 1, gy = -24, gz = 2

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = -2, Z = -8, qw = 2822, qx = 475, qy = -267, qz = -16130, gx = -13, gy = -19, gz = 5

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -5, Z = -12, qw = 2822, qx = 475, qy = -264, qz = -16130, gx = -29, gy = -3, gz = 6

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -1, Y = -5, Z = -15, qw = 2823, qx = 474, qy = -261, qz = -16130, gx = -39, gy = 0, gz = 10

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -1, Y = -4, Z = -16, qw = 2825, qx = 474, qy = -258, qz = -16130, gx = -34, gy = -4, gz = 12

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 2, Y = 0, Z = -21, qw = 2825, qx = 472, qy = -256, qz = -16130, gx = -19, gy = -9, gz = 0

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 5, Y = 13, Z = -15, qw = 2823, qx = 468, qy = -259, qz = -16130, gx = 20, gy = -35, gz = -10

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 7, Z = -22, qw = 2823, qx = 465, qy = -263, qz = -16130, gx = 27, gy = -38, gz = -8

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -7, Y = 3, Z = -28, qw = 2823, qx = 463, qy = -264, qz = -16130, gx = 9, gy = -22, gz = 0

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -13, Y = -6, Z = -31, qw = 2823, qx = 464, qy = -264, qz = -16130, gx = -5, gy = -7, gz = 7

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -11, Y = -7, Z = -32, qw = 2824, qx = 464, qy = -264, qz = -16130, gx = 0, gy = -5, gz = 12

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -11, Y = -4, Z = -28, qw = 2826, qx = 463, qy = -264, qz = -16130, gx = 5, gy = -11, gz = 13

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -7, Y = -3, Z = -24, qw = 2826, qx = 463, qy = -265, qz = -16130, gx = 10, gy = -9, gz = 4

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -6, Y = 1, Z = -19, qw = 2825, qx = 463, qy = -266, qz = -16130, gx = 14, gy = -8, gz = 3

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -7, Y = 1, Z = -20, qw = 2826, qx = 463, qy = -268, qz = -16130, gx = 16, gy = -12, gz = 9

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -12, Y = -1, Z = -21, qw = 2827, qx = 463, qy = -268, qz = -16129, gx = 3, gy = -5, gz = 11

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -12, Y = -7, Z = -27, qw = 2829, qx = 465, qy = -266, qz = -16129, gx = -13, gy = 14, gz = 16

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -15, Y = -10, Z = -29, qw = 2830, qx = 467, qy = -264, qz = -16129, gx = -20, gy = 20, gz = 14

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -12, Y = -6, Z = -34, qw = 2830, qx = 469, qy = -262, qz = -16129, gx = -17, gy = 20, gz = 8

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -7, Y = -2, Z = -29, qw = 2830, qx = 471, qy = -261, qz = -16129, gx = -2, gy = 15, gz = -1

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -4, Y = 1, Z = -29, qw = 2829, qx = 471, qy = -262, qz = -16129, gx = 13, gy = 7, gz = -10

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -2, Y = 10, Z = -22, qw = 2828, qx = 472, qy = -264, qz = -16129, gx = 20, gy = 5, gz = -10

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 2, Y = 15, Z = -15, qw = 2828, qx = 473, qy = -266, qz = -16129, gx = 18, gy = 12, gz = -5

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 12, Z = -14, qw = 2828, qx = 475, qy = -266, qz = -16129, gx = 2, gy = 21, gz = 5

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -3, Y = 9, Z = -14, qw = 2830, qx = 478, qy = -265, qz = -16128, gx = -12, gy = 31, gz = 18

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -4, Y = 4, Z = -15, qw = 2833, qx = 481, qy = -263, qz = -16128, gx = -17, gy = 33, gz = 29

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -7, Y = -4, Z = -18, qw = 2835, qx = 484, qy = -261, qz = -16127, gx = -20, gy = 35, gz = 31

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -7, Y = -7, Z = -20, qw = 2838, qx = 487, qy = -259, qz = -16127, gx = -10, gy = 33, gz = 29

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -6, Y = -10, Z = -17, qw = 2840, qx = 489, qy = -259, qz = -16126, gx = 0, gy = 25, gz = 21

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -4, Y = 0, Z = -6, qw = 2842, qx = 491, qy = -258, qz = -16126, gx = 2, gy = 25, gz = 17

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -6, Y = 3, Z = -5, qw = 2843, qx = 494, qy = -258, qz = -16126, gx = 0, gy = 28, gz = 11

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 14, Y = -8, Z = -13, qw = 2841, qx = 498, qy = -256, qz = -16126, gx = -10, gy = 52, gz = -18

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 4, Y = 0, Z = -10, qw = 2841, qx = 503, qy = -254, qz = -16126, gx = -17, gy = 50, gz = 3

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Ranges to 1 devices:   0x36: 354 mm

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = -5, Z = 5, qw = 2844, qx = 506, qy = -252, qz = -16125, gx = -12, gy = 41, gz = 24

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = -1, Z = 4, qw = 2844, qx = 508, qy = -252, qz = -16125, gx = -6, gy = 23, gz = 9

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 2, Y = -3, Z = 8, qw = 2844, qx = 511, qy = -251, qz = -16125, gx = -7, gy = 33, gz = 4

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 8, Y = 0, Z = -5, qw = 2843, qx = 513, qy = -249, qz = -16125, gx = -5, gy = 5, gz = -13

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 9, Y = 10, Z = -5, qw = 2841, qx = 513, qy = -249, qz = -16126, gx = -8, gy = -3, gz = -25

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 8, Y = 14, Z = -9, qw = 2839, qx = 513, qy = -247, qz = -16126, gx = -22, gy = 0, gz = -24

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 14, Y = 19, Z = -13, qw = 2837, qx = 512, qy = -244, qz = -16126, gx = -32, gy = 3, gz = -21

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 13, Y = 19, Z = -15, qw = 2837, qx = 511, qy = -243, qz = -16127, gx = -33, gy = 3, gz = -5

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 12, Y = 15, Z = -14, qw = 2837, qx = 511, qy = -241, qz = -16127, gx = -27, gy = 0, gz = 7

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 6, Y = 12, Z = -8, qw = 2840, qx = 510, qy = -240, qz = -16126, gx = -23, gy = 4, gz = 26

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -2, Z = -15, qw = 2843, qx = 510, qy = -238, qz = -16126, gx = -25, gy = 10, gz = 35

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -6, Y = -5, Z = -18, qw = 2846, qx = 510, qy = -236, qz = -16125, gx = -28, gy = 6, gz = 30

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -9, Y = -8, Z = -21, qw = 2849, qx = 510, qy = -233, qz = -16125, gx = -24, gy = 0, gz = 30

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -11, Y = -7, Z = -22, qw = 2850, qx = 509, qy = -231, qz = -16124, gx = -22, gy = -2, gz = 20

